beta,bookValue,debtToEquity,dividendRate,dividendYield,earningsGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,grossMargins,heldPercentInsiders,heldPercentInstitutions,operatingMargins,payoutRatio,priceToBook,profitMargins,revenueGrowth,sharesOutstanding,trailingEps,PE,ROE,ROCE,log_return
0.838,139.391,44.017,1.0,0.002,-0.3,3020440320.0,0.12467,17.322,2.159,0.34325,0.62308997,0.08377,0.09486,0.0543,3.6591313,0.064720005,-0.16,91270000.0,18.41,36.3,12.4,13.7,0.038585471825776
0.705,145.923,61.283,1.0,0.0019,0.953,10786275328.0,0.15831,20.673,3.273,0.3696,0.43581,0.23774,0.109969996,0.1125,3.632395,0.07096,0.312,362519008.0,13.34,39.6,8.24,7.47,-0.327531659
0.914,104.641,12.085,1.5,0.0053,0.204,834374976.0,0.11968,18.751,2.244,0.19728,0.54757,0.00611,0.08089,0.1492,2.714997,0.06837,0.06,55822900.0,8.38,72.2,4.78,6.92,0.7342693551615014
0.456,280.424,34.158,6.0,0.0058,-0.004,5986601984.0,0.24649,11.562,2.85,0.50821,0.70585,0.01708,0.18493,0.1288,3.704747,0.103369996,0.014,64697400.0,38.78,26.6,14.5,17.7,0.2579182276488962
0.919,238.87,6.564,0.5,0.0005,-0.385,3714511616.0,0.092609994,17.657,1.635,0.18330999,0.55358005,0.35181,0.049439996,0.0075,4.5380335,0.08866999,0.204,66987600.0,53.1,33.7,16.4,23.9,0.007346501
0.822,344.58,59.666,7.5,0.0056,0.995,2184939520.0,0.1328,11.319,1.503,0.51402,0.78474,0.09672,0.081420004,0.1549,3.8136282,0.04305,0.243,16261800.0,43.63,40.2,9.26,12.7,0.4340818097686734
0.695,247.87,0.25,10.0,0.0044,-0.017,2576570112.0,0.18011999,45.075,8.119,0.46082002,0.72892,0.03654,0.15362,0.3458,9.1277685,0.10344,-0.025,51136000.0,28.92,78.7,12.3,16.5,0.1000245268668518
0.759,99.69,0.599,7.2,0.0093,-0.331,485169248.0,0.11359999,41.796,4.748,0.49608,0.59043,0.07758,0.02342,0.3129,7.793159,0.09968001,0.075,28891500.0,14.74,52.7,15.5,21.3,0.1644319605655324
0.43,100.635,36.099,5.5,0.013099999,0.218,1210765312.0,0.10231,19.287,1.973,0.2864,0.60978,0.00464,0.0653,0.1835,4.203309,0.04779,0.212,51845000.0,10.91,38.6,10.8,13.5,-0.062057786
0.685,245.122,10.65,11.0,0.0094,0.114,9480999936.0,0.15039,24.707,3.716,0.71816003,0.70712,0.15648,0.10744,0.2498,4.777213,0.09992,0.051,196563008.0,31.99,30.9,14.3,14.4,0.2016233746889604
